0.000, Bid:,0,Ask:,0,
0.625, Bid:,0,Ask:,1,4,1,
1.850, Bid:,1,3,1,Ask:,1,4,1,
2.200, Bid:,0,Ask:,1,4,1,
2.425, Bid:,1,1,1,Ask:,1,4,1,
3.300, Bid:,1,1,2,Ask:,1,4,1,
4.825, Bid:,1,1,2,Ask:,0,
5.350, Bid:,1,1,2,Ask:,1,2,1,
6.775, Bid:,1,1,2,Ask:,2,2,1,5,1,
6.850, Bid:,1,1,2,Ask:,1,5,1,
6.875, Bid:,1,1,2,Ask:,2,3,1,5,1,
8.100, Bid:,1,1,2,Ask:,3,2,1,3,1,5,1,
9.000, Bid:,1,1,2,Ask:,2,3,1,5,1,
10.100, Bid:,1,1,2,Ask:,3,2,1,3,1,5,1,
11.375, Bid:,1,1,2,Ask:,3,2,2,3,1,5,1,
12.375, Bid:,1,1,2,Ask:,3,2,1,3,1,5,1,
12.700, Bid:,1,1,2,Ask:,3,2,2,3,1,5,1,
14.025, Bid:,1,1,2,Ask:,3,2,1,3,1,5,1,
14.325, Bid:,1,1,2,Ask:,2,3,1,5,1,
15.100, Bid:,1,1,2,Ask:,2,3,2,5,1,
15.725, Bid:,1,1,3,Ask:,2,3,2,5,1,
15.850, Bid:,1,1,3,Ask:,2,3,3,5,1,
15.875, Bid:,2,1,3,2,1,Ask:,2,3,3,5,1,
17.425, Bid:,2,1,3,2,2,Ask:,2,3,3,5,1,
